joint,port,min_rad,max_rad,home_rad,min_deg,max_deg,home_deg,range_deg
0,/dev/ttyACM1,1.954292,3.537360,3.199884,111.97,202.68,183.34,90.70
1,/dev/ttyACM1,1.774816,4.611146,3.376292,101.69,264.20,193.45,162.51
2,/dev/ttyACM1,1.791690,4.302816,3.035748,102.66,246.53,173.94,143.88
3,/dev/ttyACM1,2.222738,4.083457,2.985127,127.35,233.96,171.04,106.61
4,/dev/ttyACM1,0.351282,2.733554,1.687379,20.13,156.62,96.68,136.49
5,/dev/ttyACM1,1.638291,2.532602,2.144505,93.87,145.11,122.87,51.24
